,operation,file_size_mb,client_pool_size,server_pool_size,executor_type,avg_duration,median_duration,min_duration,max_duration,avg_throughput,median_throughput,min_throughput,max_throughput,success_count,fail_count,success_rate
17,upload,100,50,1,process,141.03930077552795,141.43911468982697,9.876555681228638,271.3994174003601,1413255.4491908343,741583.6315982195,386358.9723382393,10616818.593884116,50,0,1.0
18,download,10,1,5,process,0.185704231262207,0.185704231262207,0.185704231262207,0.185704231262207,56464841.585620746,56464841.585620746,56464841.585620746,56464841.585620746,1,0,1.0
19,download,10,5,5,process,0.239411449432373,0.2262113094329834,0.2166202068328857,0.3008131980895996,44424868.10358446,46353827.42924477,34858045.014623106,48406195.12513606,5,0,1.0
20,download,10,50,5,process,0.9461503982543944,0.9506160020828248,0.2759633064270019,1.588958501815796,14193813.487395,11046492.008978369,6599140.246908467,37996935.66424818,50,0,1.0
21,download,50,1,5,process,1.834122657775879,1.834122657775879,1.834122657775879,1.834122657775879,28585220.17473847,28585220.17473847,28585220.17473847,28585220.17473847,1,0,1.0
22,download,50,5,5,process,2.380018901824952,2.3863518238067627,2.345782518386841,2.400026321411133,22030139.310329445,21970272.56289661,21845093.752627544,22350239.030707117,5,0,1.0
23,download,50,50,5,process,13.816337666511536,13.14526069164276,4.481854438781738,23.383882522583008,4792836.288221226,4014209.814373712,2242091.318640813,11698014.898995971,50,0,1.0
24,download,100,1,5,process,6.024799346923828,6.024799346923828,6.024799346923828,6.024799346923828,17404330.6609935,17404330.6609935,17404330.6609935,17404330.6609935,1,0,1.0
25,download,100,5,5,process,8.27415428161621,8.308669090270996,8.175798892974854,8.346909284591675,12673639.128223132,12620264.311980192,12562446.340894856,12825364.39223084,5,0,1.0
26,download,100,50,5,process,44.07054811477661,43.97088241577149,8.648619890213013,79.50858616828918,3690502.706112784,2398970.277566626,1318821.086543492,12124200.315319603,50,0,1.0
27,upload,10,1,5,process,0.1597840785980224,0.1597840785980224,0.1597840785980224,0.1597840785980224,65624560.91998753,65624560.91998753,65624560.91998753,65624560.91998753,1,0,1.0
28,upload,10,5,5,process,0.1906093120574951,0.189680814743042,0.187861680984497,0.1932063102722168,55018786.02561788,55281078.44857644,54272347.44675863,55816385.46535372,5,0,1.0
29,upload,10,50,5,process,0.8172773694992066,0.8751980066299438,0.2644202709197998,1.146946907043457,15037633.199339028,11981548.3190101,9142323.79511766,39655658.63587059,50,0,1.0
30,upload,50,1,5,process,1.7039976119995115,1.7039976119995115,1.7039976119995115,1.7039976119995115,30768118.236080617,30768118.236080617,30768118.236080617,30768118.236080617,1,0,1.0
31,upload,50,5,5,process,2.3119624614715577,2.317603826522827,2.281888723373413,2.3301236629486084,22678362.16656938,22621985.431677748,22500436.708005022,22976054.644107398,5,0,1.0
32,upload,50,50,5,process,12.911118693351746,13.073799967765808,4.707016706466675,20.64815902709961,4948672.990281577,4025379.700145504,2539151.30792968,11138435.078841204,50,0,1.0
33,upload,100,1,5,process,5.794414758682251,5.794414758682251,5.794414758682251,5.794414758682251,18096322.81549801,18096322.81549801,18096322.81549801,18096322.81549801,1,0,1.0
34,upload,100,5,5,process,8.031728601455688,8.027364730834961,7.887653112411499,8.155561447143555,13057694.953614334,13062518.46228162,12857189.62202484,13293890.90843801,5,0,1.0
35,upload,100,50,5,process,43.77780721664429,43.71855938434601,11.843899726867676,77.3531448841095,3268596.3102308926,2409381.159805254,1355569.966251504,8853300.21514218,50,0,1.0
36,download,10,1,50,process,0.1896417140960693,0.1896417140960693,0.1896417140960693,0.1896417140960693,55292476.39413388,55292476.39413388,55292476.39413388,55292476.39413388,1,0,1.0
37,download,10,5,50,process,0.2290296077728271,0.2244894504547119,0.2144944667816162,0.2436985969543457,45883785.328544885,46709366.42573045,43027576.40399708,48885923.06055099,5,0,1.0
38,download,10,50,50,process,0.6667147541046142,0.5923916101455688,0.3009378910064697,1.3237905502319336,17942145.87659029,17700944.645084698,7921011.370086341,34843601.66455267,50,0,1.0
39,download,50,1,50,process,1.89548134803772,1.89548134803772,1.89548134803772,1.89548134803772,27659887.05416513,27659887.05416513,27659887.05416513,27659887.05416513,1,0,1.0
40,download,50,5,50,process,2.326917028427124,2.337350606918335,2.2905824184417725,2.3569176197052,22534753.26506599,22430866.74494436,22244646.805499174,22888851.140168115,5,0,1.0
41,download,50,50,50,process,11.418468241788904,11.499351263046265,7.219674825668335,17.61213183403015,4856696.310747853,4559283.284830384,2976857.117245574,7261933.711141429,50,0,1.0
42,download,100,1,50,process,6.011074781417847,6.011074781417847,6.011074781417847,6.011074781417847,17444068.45912953,17444068.45912953,17444068.45912953,17444068.45912953,1,0,1.0
43,download,100,5,50,process,8.179737615585328,8.172830581665039,8.149890661239624,8.21572494506836,12819299.864506705,12830022.46923336,12763036.822811687,12866135.799673516,5,0,1.0
44,download,100,50,50,process,66.53345574378967,67.47249555587769,37.13992691040039,81.4431676864624,1619391.1983929286,1554084.428163353,1287494.1260103956,2823311.9643172063,50,0,1.0
45,upload,10,1,50,process,0.1844384670257568,0.1844384670257568,0.1844384670257568,0.1844384670257568,56852348.47747712,56852348.47747712,56852348.47747712,56852348.47747712,1,0,1.0
46,upload,10,5,50,process,0.2570291519165039,0.2602274417877197,0.2495052814483642,0.2605772018432617,40808329.9800761,40294597.40281253,40240511.93207312,42026204.57222688,5,0,1.0
47,upload,10,50,50,process,0.6341187667846679,0.6758359670639038,0.3977487087249756,0.7919266223907471,17221090.25791861,15515244.242557488,13240822.701912131,26362775.717394996,50,0,1.0
48,upload,50,1,50,process,2.014436721801758,2.014436721801758,2.014436721801758,2.014436721801758,26026531.105482675,26026531.105482675,26026531.105482675,26026531.105482675,1,0,1.0
49,upload,50,5,50,process,2.7123834133148192,2.718472719192505,2.676387310028076,2.7411067485809326,19330604.58504138,19286123.281595208,19126872.759385355,19589391.940230805,5,0,1.0
50,upload,50,50,50,process,13.886002984046936,13.231723308563232,9.599804162979126,20.255932807922363,3912163.204273112,3962356.993309696,2588318.2224762514,5461444.745111307,50,0,1.0
51,upload,100,1,50,process,6.974263429641724,6.974263429641724,6.974263429641724,6.974263429641724,15034935.381754952,15034935.381754952,15034935.381754952,15034935.381754952,1,0,1.0
52,upload,100,5,50,process,9.509662866592407,9.507496356964111,9.37642765045166,9.592304229736328,11027139.84433354,11028939.277288623,10931429.767932028,11183107.672669882,5,0,1.0
53,upload,100,50,50,process,64.82791655063629,66.31667304039001,33.38569903373718,80.04541254043579,1669192.5858977686,1581166.8526257337,1309976.3830566814,3140793.9038220667,50,0,1.0
54,download,10,1,1,thread,0.2054481506347656,0.2054481506347656,0.2054481506347656,0.2054481506347656,51038473.539929815,51038473.539929815,51038473.539929815,51038473.539929815,1,0,1.0
55,download,10,5,1,thread,0.5749740600585938,0.5708639621734619,0.2161600589752197,0.9358794689178468,23715558.15334171,18368229.026189275,11204177.832990224,48509239.17078535,5,0,1.0
56,download,10,50,1,thread,4.565782480239868,4.535497307777405,0.2169878482818603,9.020859718322754,4972705.045735078,2312788.418135482,1162390.3183752885,48324180.74573158,50,0,1.0
57,download,50,1,1,thread,1.7968463897705078,1.7968463897705078,1.7968463897705078,1.7968463897705078,29178231.538588103,29178231.538588103,29178231.538588103,29178231.538588103,1,0,1.0
58,download,50,5,1,thread,5.008503484725952,5.0166308879852295,1.7570784091949463,8.256770610809326,14009866.419529572,10450998.124172607,6349794.910296163,29838622.867161456,5,0,1.0
59,download,50,50,1,thread,41.32876403331757,41.33880794048309,1.74678635597229,80.77961540222168,2828900.952455755,1268749.803448689,649035.0286881664,30014431.82833728,50,0,1.0
60,download,100,1,1,thread,5.319619655609131,5.319619655609131,5.319619655609131,5.319619655609131,19711484.42716872,19711484.42716872,19711484.42716872,19711484.42716872,1,0,1.0
61,download,100,5,1,thread,15.619529962539673,15.628266096115112,5.377686023712158,25.86294221878052,9063897.685077136,6709483.915561534,4054356.968089156,19498646.729772806,5,0,1.0
62,download,100,50,1,thread,131.56998804092407,131.61763155460358,5.365813255310059,257.2148621082306,1806178.937166389,796986.8847551651,407665.4013712401,19541790.78003357,50,0,1.0
63,upload,10,1,1,thread,0.1551656723022461,0.1551656723022461,0.1551656723022461,0.1551656723022461,67577833.70779887,67577833.70779887,67577833.70779887,67577833.70779887,1,0,1.0
64,upload,10,5,1,thread,0.5434649467468262,0.5394282341003418,0.3115832805633545,0.7882554531097412,21515055.34378248,19438656.22363677,13302489.64169255,33653153.60003061,5,0,1.0
65,upload,10,50,1,thread,4.5423288869857785,4.734578847885132,2.230554342269897,6.593509674072266,2546746.4190234644,2214869.9039111454,1590315.4038331476,4700965.944335294,50,0,1.0
66,upload,50,1,1,thread,1.825441837310791,1.825441837310791,1.825441837310791,1.825441837310791,28721156.121433698,28721156.121433698,28721156.121433698,28721156.121433698,1,0,1.0
67,upload,50,5,1,thread,5.515877151489258,5.34845757484436,2.433807611465454,8.784202337265015,11615530.602912609,9802601.827971997,5968532.825978124,21541883.48865889,5,0,1.0
68,upload,50,50,1,thread,55.189405455589295,54.84866750240326,11.94554567337036,100.66239857673644,1324988.0605803833,956158.8405241196,520837.97665553086,4388983.260670715,50,0,1.0
69,upload,100,1,1,thread,6.6916587352752686,6.6916587352752686,6.6916587352752686,6.6916587352752686,15669896.530622547,15669896.530622547,15669896.530622547,15669896.530622547,1,0,1.0
70,upload,100,5,1,thread,20.668961238861083,20.57719659805298,7.9766716957092285,33.68596601486206,6560498.251402835,5095815.627767374,3112797.773225129,13145532.873868242,5,0,1.0
71,upload,100,50,1,thread,199.9438083696365,199.7460885047913,28.56585669517517,370.6693878173828,808465.4980024105,525111.2265008474,282887.13189247786,3670731.850227011,50,0,1.0
72,download,10,1,5,thread,0.2184987068176269,0.2184987068176269,0.2184987068176269,0.2184987068176269,47990032.310589775,47990032.310589775,47990032.310589775,47990032.310589775,1,0,1.0
73,download,10,5,5,thread,0.5690138339996338,0.6409578323364258,0.3829727172851562,0.7233929634094238,19529057.510433044,16359516.13505869,14495247.438652923,27379913.833894458,5,0,1.0
74,download,10,50,5,thread,3.069282650947571,3.0750361680984497,0.5643370151519775,5.662273645401001,5135658.474747761,3410253.6994491504,1851863.8724775729,18580670.27054065,50,0,1.0
75,download,50,1,5,thread,1.715165615081787,1.715165615081787,1.715165615081787,1.715165615081787,30567776.976743992,30567776.976743992,30567776.976743992,30567776.976743992,1,0,1.0
76,download,50,5,5,thread,6.330997037887573,6.845218896865845,3.7200517654418954,7.487504005432129,8847311.701538652,7659185.307281419,7002173.215795717,14093567.32265045,5,0,1.0
77,download,50,50,5,thread,32.41724930286407,32.37993001937866,3.519315481185913,58.90785002708435,2532687.054801635,1619463.111579656,890013.8092952732,14897442.494224168,50,0,1.0
78,download,100,1,5,thread,5.217591285705566,5.217591285705566,5.217591285705566,5.217591285705566,20096936.35591472,20096936.35591472,20096936.35591472,20096936.35591472,1,0,1.0
79,download,100,5,5,thread,23.13521013259888,23.39005279541016,21.40429735183716,24.74028277397156,4542703.420530964,4482999.714330541,4238334.741683601,4898904.097452185,5,0,1.0
80,download,100,50,5,thread,118.17900524616242,117.00379478931428,15.868231773376465,216.76278042793277,1410377.176776786,897789.7229351151,483743.56424562505,6608020.445978667,50,0,1.0
81,upload,10,1,5,thread,0.1489787101745605,0.1489787101745605,0.1489787101745605,0.1489787101745605,70384285.02779813,70384285.02779813,70384285.02779813,70384285.02779813,1,0,1.0
